name;frameIndex;frameTime;pcm_fftMag[0];pcm_fftMag[1];pcm_fftMag[2];pcm_fftMag[3];pcm_fftMag[4];pcm_fftMag[5];pcm_fftMag[6];pcm_fftMag[7];pcm_fftMag[8];pcm_fftMag[9];pcm_fftMag[10];pcm_fftMag[11];pcm_fftMag[12];pcm_fftMag[13];pcm_fftMag[14];pcm_fftMag[15];pcm_fftMag[16];pcm_fftMag[17];pcm_fftMag[18];pcm_fftMag[19];pcm_fftMag[20];pcm_fftMag[21];pcm_fftMag[22];pcm_fftMag[23];pcm_fftMag[24];pcm_fftMag[25];pcm_fftMag[26];pcm_fftMag[27];pcm_fftMag[28];pcm_fftMag[29];pcm_fftMag[30];pcm_fftMag[31];pcm_fftMag[32]
'test/1khz.wav';0;0.000000;2.501355e-03;2.593649e-03;4.414261e-03;6.796888e-03;1.186498e-02;2.304970e-02;6.347384e-02;5.950284e+00;1.368039e+01;5.950122e+00;6.370711e-02;2.355956e-02;1.235338e-02;7.709333e-03;5.132264e-03;3.820439e-03;2.756116e-03;2.312987e-03;1.705814e-03;1.610769e-03;1.208178e-03;1.342253e-03;1.447967e-03;7.011019e-02;1.628496e-01;7.022385e-02;1.085920e-03;8.700015e-04;3.752826e-04;6.996035e-04;2.146980e-04;6.562428e-04;1.641641e-04
'test/1khz.wav';1;0.008000;2.281868e-03;2.814846e-03;4.295012e-03;6.912884e-03;1.182085e-02;2.311261e-02;6.346240e-02;5.950264e+00;1.368039e+01;5.950143e+00;6.371357e-02;2.350450e-02;1.236925e-02;7.629622e-03;5.166981e-03;3.727159e-03;2.818351e-03;2.213648e-03;1.797426e-03;1.507857e-03;1.318412e-03;1.245171e-03;1.523471e-03;7.008795e-02;1.628502e-01;7.024248e-02;1.160736e-03;6.777844e-04;5.282806e-04;4.545654e-04;4.127935e-04;3.902373e-04;3.836512e-04
'test/1khz.wav';2;0.016000;2.257347e-03;2.790838e-03;4.270886e-03;6.888386e-03;1.179723e-02;2.309201e-02;6.344704e-02;5.950273e+00;1.368039e+01;5.950134e+00;6.372923e-02;2.352569e-02;1.239340e-02;7.653761e-03;5.188105e-03;3.742681e-03;2.826278e-03;2.212990e-03;1.788285e-03;1.491259e-03;1.296387e-03;1.220639e-03;1.501714e-03;7.009599e-02;1.628501e-01;7.023392e-02;1.168665e-03;6.880808e-04;5.424766e-04;4.728390e-04;4.343956e-04;4.140149e-04;4.081726e-04
'test/1khz.wav';3;0.024000;2.435378e-03;2.643127e-03;4.306367e-03;7.016440e-03;1.162581e-02;2.313037e-02;6.358587e-02;5.950434e+00;1.368039e+01;5.949973e+00;6.359234e-02;2.348077e-02;1.256877e-02;7.553631e-03;5.100177e-03;3.919911e-03;2.773145e-03;2.088307e-03;1.954996e-03;1.493137e-03;1.139542e-03;1.357293e-03;1.592262e-03;7.025644e-02;1.628507e-01;7.007265e-02;1.002534e-03;7.656700e-04;6.638511e-04;2.955509e-04;5.401253e-04;5.286427e-04;2.301418e-04
'test/1khz.wav';4;0.032000;2.669077e-03;2.451206e-03;4.498831e-03;6.951001e-03;1.157438e-02;2.330926e-02;6.337515e-02;5.950289e+00;1.368039e+01;5.950118e+00;6.380387e-02;2.330725e-02;1.260355e-02;7.671637e-03;4.889287e-03;4.104181e-03;2.719560e-03;2.014310e-03;2.142894e-03;1.300387e-03;1.249062e-03;1.420249e-03;1.378762e-03;7.011292e-02;1.628499e-01;7.021834e-02;1.197581e-03;5.390665e-04;8.052764e-04;3.076909e-04;5.610308e-04;7.172946e-04;3.557652e-06
'test/1khz.wav';5;0.040000;2.303154e-03;2.835925e-03;4.308638e-03;6.905702e-03;1.178503e-02;2.305438e-02;6.340150e-02;5.950303e+00;1.368039e+01;5.950103e+00;6.377484e-02;2.356216e-02;1.240144e-02;7.629121e-03;5.143778e-03;3.702332e-03;2.811626e-03;2.231796e-03;1.830391e-03;1.534492e-03;1.317334e-03;1.205785e-03;1.458046e-03;7.012655e-02;1.628500e-01;7.020292e-02;1.210150e-03;7.338162e-04;5.799669e-04;4.892055e-04;4.228582e-04;3.780517e-04;3.623657e-04
'test/1khz.wav';6;0.048000;2.176129e-03;2.877483e-03;4.305857e-03;6.714955e-03;1.174820e-02;2.325503e-02;6.351481e-02;5.950367e+00;1.368039e+01;5.950039e+00;6.366371e-02;2.335993e-02;1.242743e-02;7.830288e-03;5.207986e-03;3.639098e-03;2.853880e-03;2.290480e-03;1.688739e-03;1.355836e-03;1.390017e-03;1.393398e-03;1.519533e-03;7.019052e-02;1.628504e-01;7.013885e-02;1.066925e-03;6.020326e-04;7.027087e-04;5.997498e-04;3.348480e-04;3.729888e-04;4.893902e-04
'test/1khz.wav';7;0.056000;2.496036e-03;2.604608e-03;4.472689e-03;6.835425e-03;1.176536e-02;2.328889e-02;6.324948e-02;5.950121e+00;1.368039e+01;5.950285e+00;6.392682e-02;2.333451e-02;1.240830e-02;7.747613e-03;4.959834e-03;3.916712e-03;2.757434e-03;2.134518e-03;1.996647e-03;1.309252e-03;1.424866e-03;1.333726e-03;1.321100e-03;6.994562e-02;1.628497e-01;7.038733e-02;1.355481e-03;4.637047e-04;7.154616e-04;4.295603e-04;4.094399e-04;5.756498e-04;1.694836e-04
'test/1khz.wav';8;0.064000;2.490373e-03;2.671368e-03;4.235317e-03;7.053792e-03;1.157290e-02;2.331985e-02;6.326561e-02;5.950173e+00;1.368039e+01;5.950234e+00;6.390872e-02;2.330047e-02;1.262295e-02;7.463541e-03;5.310019e-03;3.726852e-03;2.758848e-03;2.380443e-03;1.573828e-03;1.724036e-03;1.092406e-03;1.388603e-03;1.408632e-03;6.999514e-02;1.628509e-01;7.033269e-02;1.390574e-03;4.744913e-04;7.062177e-04;5.120134e-04;3.868091e-04;6.250166e-04;1.751465e-04
'test/1khz.wav';9;0.072000;2.177819e-03;2.925949e-03;4.018172e-03;7.097131e-03;1.189549e-02;2.278372e-02;6.364561e-02;5.950282e+00;1.368039e+01;5.950125e+00;6.352863e-02;2.382973e-02;1.233763e-02;7.409403e-03;5.429761e-03;3.685434e-03;2.853284e-03;2.178400e-03;1.658689e-03;1.814693e-03;1.183792e-03;1.057593e-03;1.747448e-03;7.010447e-02;1.628503e-01;7.022392e-02;1.055455e-03;1.005266e-03;3.338998e-04;5.789927e-04;6.482960e-04;2.619367e-04;4.877003e-04
